City,City_cd,OverallRank,State,BFRankOverall,BFRankEasebusiness,BFRankHiring,BFRankRegulations,BFRankHealthSafety,BFRankEmploymentLabor&HiringRegulations,BFRankTaxRegulations,EducationalTotalScore,Education&AttainmentGap,EducationalOverallRank,MobilePopulation,MobilePopulationrank,MobileOverallscore,MobileOverallrank,Diversityoverallrank,DiversityTotalScore,SocioeconomicDiversityrank,diversityRank,EconomicDiversityRank,HouseholdDiversityRank,ReligiousDiversityRank,TransitRank,TransitScore,TransitPopulation,PopulationTotal,PopulationRanking,locations,lat,Lon,OverallAverageRanking,OverallRank
Dayton,Day,, OH,6,10,6,7,10,5,7,48.99,76,70,724091,58,96.4,61,345,62.51,492,268,275,259,128,29,6.8,1267798,140371,102,"[39.7774, -84.1996]",39.7774,-84.1996,102,106
Knoxville,Kno,, TN,36,47,73,22,6,35,25,43.92,71,102,558696,73,97.1,28,323,62.94,448,331,213,288,145,52,4.8,471446,187347,79,"[35.9707, -83.9493]",35.9707,-83.9493,103,107
Davenport,Dav,, IA,6,10,6,7,10,5,7,41,149,111,5121892,6,97.1,26,316,63.12,324,359,270,237,160,29,6.8,1267798,102320,132,"[41.5541, -90.604]",41.5541,-90.604,103,108
Gulfport,Gul,, MS,15,21,56,16,4,13,20,37.3,92,125,400492,92,94.7,111,190,65.22,453,239,47,6,135,64,3.7,261552,111053,126,"[45.5023, -122.4416]",45.5023,-122.4416,105,109
Detroit,Det,, MI,39,48,18,23,21,22,38,47.04,137,83,3734090,11,97.4,16,449,59.35,498,393,272,256,247,31,6.8,690077,673104,21,"[42.383, -83.1022]",42.383,-83.1022,107,110
Toledo,Tol,, OH,28,28,47,21,35,30,10,44.58,85,97,507643,79,96.7,46,358,62.27,484,301,268,102,242,61,3.9,280102,276491,54,"[41.6641, -83.5819]",41.6641,-83.5819,107,111
Birmingham,Bir,, AL,44,72,7,18,11,12,46,46.16,82,90,749495,54,95.4,95,341,62.65,472,394,194,181,32,9,8.9,622454,210710,66,"[33.5274, -86.799]",33.5274,-86.799,108,112
Akron,Akr,, OH,7,4,75,8,9,25,2,48.12,90,78,569499,70,96.5,56,346,62.45,481,306,317,150,202,92,4,5678,197846,73,"[41.0805, -81.5214]",41.0805,-81.5214,109,113
Ann Arbor,Ann,, MI,50,59,70,70,64,68,68,92.57,3,1,306022,123,96.5,55,376,61.61,80,167,500,465,437,59,4.1,299107,121477,111,"[42.2761, -83.7309]",42.2761,-83.7309,109,114
North Port,Nor,, FL,38,37,35,61,60,43,63,47.01,142,84,18351295,1,96.2,66,398,61.05,407,459,285,343,40,10,8.7,279778,242975,61,"[36.2857, -115.0939]",36.2857,-115.0939,110,115
Scranton,Scr,, PA,24,12,68,38,44,46,24,37.19,113,126,381502,98,93.2,118,311,63.22,438,297,292,135,201,32,6.6,333123,249950,59,"[33.6843, -111.8611]",33.6843,-111.8611,112,116
Stockton,Sto,, CA,45,35,55,52,67,67,44,24.69,111,143,370583,101,97.4,12,379,61.54,454,288,364,484,272,56,4.3,280984,310496,49,"[37.9763, -121.3133]",37.9763,-121.3133,114,117
